Reference_Number,Shloka,Translation
sb.11.28.4,किं भद्रं किमभद्रं वा द्वैतस्यावस्तुन: कियत् । वाचोदितं तदनृतं मनसा ध्यातमेव च ॥,"That which is expressed by material words or meditated upon by the material mind is not ultimate truth. What, therefore, is actually good or bad within this insubstantial world of duality, and how can the extent of such good and bad be measured?"
sb.11.28.5,छायाप्रत्याह्वयाभासा ह्यसन्तोऽप्यर्थकारिण: । एवं देहादयो भावा यच्छन्त्यामृत्युतो भयम् ॥,"Although shadows, echoes and mirages are only illusory reflections of real things, such reflections do cause a semblance of meaningful or comprehensible perception. In the same way, although the identification of the conditioned soul with the material body, mind and ego is illusory, this identification generates fear within him even up to the moment of death."
sb.11.28.12,यावद् देहेन्द्रियप्राणैरात्मन: सन्निकर्षणम् । संसार: फलवांस्तावदपार्थोऽप्यविवेकिन: ॥,"The Supreme Personality of Godhead said: As long as the foolish spirit soul remains attracted to the material body, senses and vital force, his material existence continues to flourish, although it is ultimately meaningless."
sb.11.28.13,अर्थे ह्यविद्यमानेऽपि संसृतिर्न निवर्तते । ध्यायतो विषयानस्य स्वप्नेऽनर्थागमो यथा ॥,"Actually, the living entity is transcendental to material existence. But because of his mentality of lording it over material nature, his material existential condition does not cease, and, just as in a dream, he is affected by all sorts of disadvantages."
sb.11.28.14,यथा ह्यप्रतिबुद्धस्य प्रस्वापो बह्वनर्थभृत् । स एव प्रतिबुद्धस्य न वै मोहाय कल्पते ॥,"Although while dreaming a person experiences many undesirable things, upon awakening he is no longer confused by the dream experiences."
sb.11.28.15,शोकहर्षभयक्रोधलोभमोहस्पृहादय: । अहङ्कारस्य द‍ृश्यन्ते जन्म मृत्युश्च नात्मन: ॥,"Lamentation, elation, fear, anger, greed, confusion and hankering, as well as birth and death, are experiences of the false ego and not of the pure soul."
sb.11.28.16,देहेन्द्रियप्राणमनोऽभिमानो जीवोऽन्तरात्मा गुणकर्ममूर्ति: । सूत्रं महानित्युरुधेव गीत: संसार आधावति कालतन्त्र: ॥,"The living entity who falsely identifies with his body, senses, life air and mind, and who dwells within these coverings, assumes the form of his own materially conditioned qualities and work. He is designated variously in relation to the total material energy, and thus, under the strict control of supreme time, he is forced to run here and there within material existence."
sb.11.28.34,यथा हि भानोरुदयो नृचक्षुषां तमो निहन्यान्न तु सद् विधत्ते । एवं समीक्षा निपुणा सती मे हन्यात्तमिस्रं पुरुषस्य बुद्धे: ॥,"When the sun rises it destroys the darkness covering men’s eyes, but it does not create the objects they then see before them, which in fact were existing all along. Similarly, potent and factual realization of Me will destroy the darkness covering a person’s true consciousness."
sb.11.28.40,कांश्चिन्ममानुध्यानेन नामसङ्कीर्तनादिभि: । योगेश्वरानुवृत्त्या वा हन्यादशुभदान् शनै: ॥,"These inauspicious disturbances can be gradually removed by constant remembrance of Me, by congregational hearing and chanting of My holy names, or by following in the footsteps of the great masters of yoga."
bg.9.13,महात्मानस्तु मां पार्थ दैवीं प्रकृतिमाश्रिता: । भजन्त्यनन्यमनसो ज्ञात्वा भूतादिमव्ययम् ॥,"O son of Pṛthā, those who are not deluded, the great souls, are under the protection of the divine nature. They are fully engaged in devotional service because they know Me as the Supreme Personality of Godhead, original and inexhaustible."
bg.9.14,सततं कीर्तयन्तो मां यतन्तश्च दृढव्रता: । नमस्यन्तश्च मां भक्त्य‍ा नित्ययुक्ता उपासते ॥,"Always chanting My glories, endeavoring with great determination, bowing down before Me, these great souls perpetually worship Me with devotion."
bg.9.11,अवजानन्ति मां मूढा मानुषीं तनुमाश्रितम् । परं भावमजानन्तो मम भूतमहेश्वरम् ॥,Fools deride Me when I descend in the human form. They do not know My transcendental nature as the Supreme Lord of all that be.
bg.9.12,मोघाशा मोघकर्माणो मोघज्ञाना विचेतस: । राक्षसीमासुरीं चैव प्रकृतिं मोहिनीं श्रिता:॥,"Those who are thus bewildered are attracted by demonic and atheistic views. In that deluded condition, their hopes for liberation, their fruitive activities, and their culture of knowledge are all defeated."
sb.11.13.33,एवं विमृश्य गुणतो मनसस्त्र्यवस्था मन्मायया मयि कृता इति निश्चितार्था: । सञ्छिद्य हार्दमनुमानसदुक्तितीक्ष्ण ज्ञानासिना भजत माखिलसंशयाधिम् ॥,"You should consider how, by the influence of My illusory energy, these three states of the mind, caused by the modes of nature, have been artificially imagined to exist in Me. Having definitely ascertained the truth of the soul, you should utilize the sharpened sword of knowledge, acquired by logical reflection and from the instructions of sages and Vedic literatures, to completely cut off the false ego, which is the breeding ground of all doubts. All of you should then worship Me, who am situated within the heart."
sb.11.14.12,मय्यर्पितात्मन: सभ्य निरपेक्षस्य सर्वत: । मयात्मना सुखं यत्तत् कुत: स्याद् विषयात्मनाम् ॥,"O learned Uddhava, those who fix their consciousness on Me, giving up all material desires, share with Me a happiness that cannot possibly be experienced by those engaged in sense gratification."
sb.11.13.24,मनसा वचसा द‍ृष्‍ट्या गृह्यतेऽन्यैरपीन्द्रियै: । अहमेव न मत्तोऽन्यदिति बुध्यध्वमञ्जसा ॥,"Within this world, whatever is perceived by the mind, speech, eyes or other senses is Me alone and nothing besides Me. All of you please understand this by a straightforward analysis of the facts."
sb.11.29.9,कुर्यात् सर्वाणि कर्माणि मदर्थं शनकै: स्मरन् । मय्यर्पितमनश्चित्तो मद्धर्मात्ममनोरति: ॥,"Always remembering Me, one should perform all his duties for Me without becoming impetuous. With mind and intelligence offered to Me, one should fix his mind in attraction to My devotional service."
sb.11.29.12,मामेव सर्वभूतेषु बहिरन्तरपावृतम् । ईक्षेतात्मनि चात्मानं यथा खममलाशय: ॥,"With a pure heart one should see Me, the Supreme Soul within all beings and also within oneself, to be both unblemished by anything material and also present everywhere, both externally and internally, just like the omnipresent sky."
sb.11.29.13,इति सर्वाणि भूतानि मद्भ‍ावेन महाद्युते । सभाजयन् मन्यमानो ज्ञानं केवलमाश्रित: ॥,"O brilliant Uddhava, one who thus views all living entities with the idea that I am present within each of them, and who by taking shelter of this divine knowledge offers due respect to everyone, is considered actually wise."
sb.11.29.14,ब्राह्मणे पुक्कसे स्तेने ब्रह्मण्येऽर्के स्फुलिङ्गके । अक्रूरे क्रूरके चैव समद‍ृक् पण्डितो मत: ॥,"Such a man sees equally the brāhmaṇa and the outcaste, the thief and the charitable promoter of brahminical culture, the sun and the tiny sparks of fire, the gentle and the cruel."
sb.11.29.15,नरेष्वभीक्ष्णं मद्भ‍ावं पुंसो भावयतोऽचिरात् । स्पर्धासूयातिरस्कारा: साहङ्कारा वियन्ति हि ॥,"For him who constantly meditates upon My presence within all persons, the bad tendencies of rivalry, envy and abusiveness, along with false ego, are very quickly destroyed."
sb.11.29.16,विसृज्य स्मयमानान् स्वान् द‍ृशं व्रीडां च दैहिकीम् । प्रणमेद् दण्डवद् भूमावाश्वचाण्डालगोखरम् ॥,"Disregarding the ridicule of one's companions, one should give up the bodily conception and its accompanying embarrassment. One should offer obeisances before all — even the dogs, outcastes, cows and asses — falling flat upon the ground like a rod."
sb.11.29.17,यावत् सर्वेषु भूतेषु मद्भ‍ावो नोपजायते । तावदेवमुपासीत वाङ्‍मन:कायवृत्तिभि: ॥,"Until one has fully developed the ability to see Me within all living beings, one must continue to worship Me by this process with the activities of his speech, mind and body."
sb.11.29.18,सर्वं ब्रह्मात्मकं तस्य विद्ययात्ममनीषया । परिपश्यन्नुपरमेत् सर्वतो मुक्तसंशय: ॥,"By such transcendental knowledge of the all-pervading Personality of Godhead, one is able to see the Absolute Truth everywhere. Freed thus from all doubts, one gives up fruitive activities."
sb.11.29.19,अयं हि सर्वकल्पानां सध्रीचीनो मतो मम । मद्भ‍ाव: सर्वभूतेषु मनोवाक्कायवृत्तिभि: ॥,"Indeed, I consider this process — using one’s mind, words and bodily functions for realizing Me within all living beings — to be the best possible method of spiritual enlightenment."
sb.11.29.21,यो यो मयि परे धर्म: कल्प्यते निष्फलाय चेत् । तदायासो निरर्थ: स्याद् भयादेरिव सत्तम ॥,"O Uddhava, greatest of saints, in a dangerous situation an ordinary person cries, becomes fearful and laments, although such useless emotions do not change the situation. But activities offered to Me without personal motivation, even if they are externally useless, amount to the actual process of religion."
sb.11.29.22,एषा बुद्धिमतां बुद्धिर्मनीषा च मनीषिणाम् । यत् सत्यमनृतेनेह मर्त्येनाप्नोति मामृतम् ॥,"This process is the supreme intelligence of the intelligent and the cleverness of the most clever, for by following it one can in this very life make use of the temporary and unreal to achieve Me, the eternal reality."
sb.11.29.30,नैतत्त्वया दाम्भिकाय नास्तिकाय शठाय च । अशुश्रूषोरभक्ताय दुर्विनीताय दीयताम् ॥,"You should not share this instruction with anyone who is hypocritical, atheistic or dishonest, or with anyone who will not listen faithfully, who is not a devotee, or who is simply not humble."
sb.11.29.33,ज्ञाने कर्मणि योगे च वार्तायां दण्डधारणे । यावानर्थो नृणां तात तावांस्तेऽहं चतुर्विध: ॥,"Through analytic knowledge, ritualistic work, mystic yoga, mundane business and political rule, people seek to advance in religiosity, economic development, sense gratification and liberation. But because you are My devotee, whatever men can accomplish in these multifarious ways you will very easily find within Me."
sb.11.29.34,मर्त्यो यदा त्यक्तसमस्तकर्मा निवेदितात्मा विचिकीर्षितो मे । तदामृतत्त्वं प्रतिपद्यमानो मयात्मभूयाय च कल्पते वै ॥,"A person who gives up all fruitive activities and offers himself entirely unto Me, eagerly desiring to render service unto Me, achieves liberation from birth and death and is promoted to the status of sharing My own opulences."
sb.11.29.20,न ह्यङ्गोपक्रमे ध्वंसो मद्धर्मस्योद्धवाण्वपि । मया व्यवसित: सम्यङ्निर्गुणत्वादनाशिष: ॥,"My dear Uddhava, because I have personally established it, this process of devotional service unto Me is transcendental and free from any material motivation. Certainly a devotee never suffers even the slightest loss by adopting this process."
bg.12.6,ये तु सर्वाणि कर्माणि मयि सन्न्यस्य मत्परा: । अनन्येनैव योगेन मां ध्यायन्त उपासते ॥,"But those who worship Me, giving up all their activities unto Me and being devoted to Me without deviation, engaged in devotional service and always meditating upon Me, having fixed their minds upon Me, O son of Pṛthā - for them I am the swift deliverer from the ocean of birth and death."
bg.12.7,तेषामहं समुद्धर्ता मृत्युसंसारसागरात् । भवामि न चिरात्पार्थ मय्यावेशितचेतसाम् ॥,"But those who worship Me, giving up all their activities unto Me and being devoted to Me without deviation, engaged in devotional service and always meditating upon Me, having fixed their minds upon Me, O son of Pṛthā - for them I am the swift deliverer from the ocean of birth and death."
bg.12.9,अथ चित्तं समाधातुं न शक्न‍ोषि मयि स्थिरम् । अभ्यासयोगेन ततो मामिच्छाप्‍तुं धनञ्जय ॥,"My dear Arjuna, O winner of wealth, if you cannot fix your mind upon Me without deviation, then follow the regulative principles of bhakti-yoga. In this way develop a desire to attain Me."
bg.12.11,अथैतदप्यशक्तोऽसि कर्तुं मद्योगमाश्रित: । सर्वकर्मफलत्यागं तत: कुरु यतात्मवान् ॥,"If, however, you are unable to work in this consciousness of Me, then try to act giving up all results of your work and try to be self-situated."
bg.12.12,श्रेयो हि ज्ञानमभ्यासाज्ज्ञानाद्ध्यानं विशिष्यते । ध्यानात्कर्मफलत्यागस्त्यागाच्छान्तिरनन्तरम् ॥,"If you cannot take to this practice, then engage yourself in the cultivation of knowledge. Better than knowledge, however, is meditation, and better than meditation is renunciation of the fruits of action, for by such renunciation one can attain peace of mind."
bg.12.13,अद्वेष्टा सर्वभूतानां मैत्र: करुण एव च । निर्ममो निरहङ्कार: समदु:खसुख: क्षमी ॥,"One who is not envious but is a kind friend to all living entities, who does not think himself a proprietor and is free from false ego, who is equal in both happiness and distress, who is tolerant, always satisfied, self-controlled, and engaged in devotional service with determination, his mind and intelligence fixed on Me – such a devotee of Mine is very dear to Me."
bg.12.14,सन्तुष्ट: सततं योगी यतात्मा दृढनिश्चय: । मय्यर्पितमनोबुद्धिर्यो मद्भ‍क्त: स मे प्रिय: ॥,"One who is not envious but is a kind friend to all living entities, who does not think himself a proprietor and is free from false ego, who is equal in both happiness and distress, who is tolerant, always satisfied, self-controlled, and engaged in devotional service with determination, his mind and intelligence fixed on Me – such a devotee of Mine is very dear to Me."
bg.12.15,यस्मान्नोद्विजते लोको लोकान्नोद्विजते च य: । हर्षामर्षभयोद्वेगैर्मुक्तो य: स च मे प्रिय: ॥,"He by whom no one is put into difficulty and who is not disturbed by anyone, who is equipoised in happiness and distress, fear and anxiety, is very dear to Me."
bg.12.16,अनपेक्ष: श‍ुचिर्दक्ष उदासीनो गतव्यथ: । सर्वारम्भपरित्यागी यो मद्भ‍क्त: स मे प्रिय: ॥,"My devotee who is not dependent on the ordinary course of activities, who is pure, expert, without cares, free from all pains, and not striving for some result, is very dear to Me."
bg.12.17,यो न हृष्यति न द्वेष्टि न शोचति न काङ्‍क्षति । श‍ुभाश‍ुभपरित्यागी भक्तिमान्य: स मे प्रिय: ॥,"One who neither rejoices nor grieves, who neither laments nor desires, and who renounces both auspicious and inauspicious things – such a devotee is very dear to Me."
bg.12.18,सम: शत्रौ च मित्रे च तथा मानापमानयो: । शीतोष्णसुखदु:खेषु सम: सङ्गविवर्जित: ॥,"One who is equal to friends and enemies, who is equipoised in honor and dishonor, heat and cold, happiness and distress, fame and infamy, who is always free from contaminating association, always silent and satisfied with anything, who doesn’t care for any residence, who is fixed in knowledge and who is engaged in devotional service – such a person is very dear to Me."
bg.12.19,तुल्यनिन्दास्तुतिर्मौनी सन्तुष्टो येन केनचित् । अनिकेत: स्थिरमतिर्भक्तिमान्मे प्रियो नर: ॥,"One who is equal to friends and enemies, who is equipoised in honor and dishonor, heat and cold, happiness and distress, fame and infamy, who is always free from contaminating association, always silent and satisfied with anything, who doesn’t care for any residence, who is fixed in knowledge and who is engaged in devotional service – such a person is very dear to Me."
bg.12.20,ये तु धर्मामृतमिदं यथोक्तं पर्युपासते । श्रद्दधाना मत्परमा भक्तास्तेऽतीव मे प्रिया: ॥,"Those who follow this imperishable path of devotional service and who completely engage themselves with faith, making Me the supreme goal, are very, very dear to Me."
sb.11.13.14,एतावान् योग आदिष्टो मच्छिष्यै: सनकादिभि: । सर्वतो मन आकृष्य मय्यद्धावेश्यते यथा ॥,"The actual yoga system as taught by My devotees, headed by Sanaka-kumāra, is simply this: Having withdrawn the mind from all other objects, one should directly and appropriately absorb it in Me."
sb.11.13.29,अहङ्कारकृतं बन्धमात्मनोऽर्थविपर्ययम् । विद्वान् निर्विद्य संसारचिन्तां तुर्ये स्थितस्त्यजेत् ॥,"The false ego of the living entity places him in bondage and awards him exactly the opposite of what he really desires. Therefore, an intelligent person should give up his constant anxiety to enjoy material life and remain situated in the Lord, who is beyond the functions of material consciousness."
sb.11.13.12,रजस्तमोभ्यां यदपि विद्वान् विक्षिप्तधी: पुन: । अतन्द्रितो मनो युञ्जन् दोषद‍ृष्टिर्न सज्जते ॥,"Although the intelligence of a learned person may be bewildered by the modes of passion and ignorance, he should again carefully bring the mind under control. By clearly seeing the contamination of the modes of nature, he does not become attached."
sb.11.13.40,मां भजन्ति गुणा: सर्वे निर्गुणं निरपेक्षकम् । सुहृदं प्रियमात्मानं साम्यासङ्गादयोऽगुणा: ॥,"All superior transcendental qualities, such as being beyond the modes of nature, detached, the well-wisher, the most dear, the Supersoul, equally situated everywhere, and free from material entanglement — all such qualities, free from the transformations of material qualities, find their shelter and worshipable object in Me."
sb.11.14.13,अकिञ्चनस्य दान्तस्य शान्तस्य समचेतस: । मया सन्तुष्टमनस: सर्वा: सुखमया दिश: ॥,"One who does not desire anything within this world, who has achieved peace by controlling his senses, whose consciousness is equal in all conditions and whose mind is completely satisfied in Me finds only happiness wherever he goes."
sb.11.14.29,स्‍त्रीणां स्‍त्रीसङ्गिनां सङ्गं त्यक्त्वा दूरत आत्मवान् । क्षेमे विविक्त आसीनश्चिन्तयेन्मामतन्द्रित: ॥,"Being conscious of the eternal self, one should give up association with women and those intimately associated with women. Sitting fearlessly in a solitary place, one should concentrate the mind on Me with great attention."
sb.11.14.30,न तथास्य भवेत् क्लेशो बन्धश्चान्यप्रसङ्गत: । योषित्सङ्गाद् यथा पुंसो यथा तत्सङ्गिसङ्गत: ॥,"Of all kinds of suffering and bondage arising from various attachments, none is greater than the suffering and bondage arising from attachment to women and intimate contact with those attached to women."
sb.11.14.46,ध्यानेनेत्थं सुतीव्रेण युञ्जतो योगिनो मन: । संयास्यत्याशु निर्वाणं द्रव्य ज्ञानक्रियाभ्रम: ॥,"When the yogī thus controls his mind by intensely concentrated meditation, his illusory identification with material objects, knowledge and activities is very quickly extinguished."
sb.11.14.26,यथा यथात्मा परिमृज्यतेऽसौ मत्पुण्यगाथाश्रवणाभिधानै: । तथा तथा पश्यति वस्तु सूक्ष्मं चक्षुर्यथैवाञ्जनसम्प्रयुक्तम् ॥,"When a diseased eye is treated with medicinal ointment it gradually recovers its power to see. Similarly, as a conscious living entity cleanses himself of material contamination by hearing and chanting the pious narrations of My glories, he regains his ability to see Me, the Absolute Truth, in My subtle spiritual form."
sb.11.16.42,वाचं यच्छ मनो यच्छ प्राणान् यच्छेन्द्रियाणि च । आत्मानमात्मना यच्छ न भूय: कल्पसेऽध्वने ॥,"Therefore, control your speaking, subdue the mind, conquer the life air, regulate the senses and through purified intelligence bring your rational faculties under control. In this way you will never again fall onto the path of material existence."
sb.11.16.43,यो वै वाङ्‍मनसी सम्यगसंयच्छन् धिया यति: । तस्य व्रतं तपो दानं स्रवत्यामघटाम्बुवत् ॥,"A transcendentalist who does not completely control his words and mind by superior intelligence will find that his spiritual vows, austerities and charity flow away just as water flows out of an unbaked clay pot."
sb.11.16.44,तस्माद्वचोमन:प्राणान् नियच्छेन्मत्परायण: । मद्भ‍‍क्तियुक्तया बुद्ध्या तत: परिसमाप्यते ॥,"Being surrendered to Me, one should control the speech, mind and life air, and then through loving devotional intelligence one will completely fulfill the mission of life."
sb.11.16.40,तेज: श्री: कीर्तिरैश्वर्यं ह्रीस्त्याग: सौभगं भग: । वीर्यं तितिक्षा विज्ञानं यत्र यत्र स मेंऽशक: ॥,"Whatever power, beauty, fame, opulence, humility, renunciation, mental pleasure, fortune, strength, tolerance or spiritual knowledge there may be is simply an expansion of My opulence."
sb.11.17.52,कुटुम्बेषु न सज्जेत न प्रमाद्येत् कुटुम्ब्यपि । विपश्चिन्नश्वरं पश्येदद‍ृष्टमपि द‍ृष्टवत् ॥,"A householder taking care of many dependent family members should not become materially attached to them, nor should he become mentally unbalanced, considering himself to be the lord. An intelligent householder should see that all possible future happiness, just like that which he has already experienced, is temporary."
sb.11.17.53,पुत्रदाराप्तबन्धूनां सङ्गम: पान्थसङ्गम: । अनुदेहं वियन्त्येते स्वप्नो निद्रानुगो यथा ॥,"The association of children, wife, relatives and friends is just like the brief meeting of travelers. With each change of body one is separated from all such associates, just as one loses the objects one possesses in a dream when the dream is over."
sb.11.17.54,इत्थं परिमृशन्मुक्तो गृहेष्वतिथिवद् वसन् । न गृहैरनुबध्येत निर्ममो निरहङ्कृत: ॥,"Deeply considering the actual situation, a liberated soul should live at home just like a guest, without any sense of proprietorship or false ego. In this way he will not be bound or entangled by domestic affairs."
sb.11.17.56,यस्त्वासक्तमतिर्गेहे पुत्रवित्तैषणातुर: । स्‍त्रैण: कृपणधीर्मूढो ममाहमिति बध्यते ॥,"But a householder whose mind is attached to his home and who is thus disturbed by ardent desires to enjoy his money and children, who is lusty after women, who is possessed of a miserly mentality and who unintelligently thinks, “Everything is mine and I am everything,” is certainly bound in illusion."
sb.11.18.44,इति मां य: स्वधर्मेण भजेन् नित्यमनन्यभाक् । सर्वभूतेषु मद्भ‍ावो मद्भ‍‍क्तिं विन्दते द‍ृढाम् ॥,"One who worships Me by his prescribed duty, having no other object of worship, and who remains conscious of Me as present in all living entities, achieves unflinching devotional service unto Me."
sb.11.18.45,भक्त्योद्धवानपायिन्या सर्वलोकमहेश्वरम् । सर्वोत्पत्त्यप्ययं ब्रह्म कारणं मोपयाति स: ॥,"My dear Uddhava, I am the Supreme Lord of all worlds, and I create and destroy this universe, being its ultimate cause. I am thus the Absolute Truth, and one who worships Me with unfailing devotional service comes to Me."
sb.11.18.46,इति स्वधर्मनिर्णिक्तसत्त्वो निर्ज्ञातमद्गति: । ज्ञानविज्ञानसम्पन्नो नचिरात् समुपैति माम् ॥,"Thus, one who has purified his existence by execution of his prescribed duties, who fully understands My supreme position and who is endowed with scriptural and realized knowledge, very soon achieves Me."
sb.11.26.27,सन्तोऽनपेक्षा मच्चित्ता: प्रशान्ता: समदर्शिन: । निर्ममा निरहङ्कारा निर्द्वन्द्वा निष्परिग्रहा: ॥,"My devotees fix their minds on Me and do not depend upon anything material. They are always peaceful, endowed with equal vision, and free from possessiveness, false ego, duality and greed."
sb.11.28.9,प्रत्यक्षेणानुमानेन निगमेनात्मसंविदा । आद्यन्तवदसज्ज्ञात्वा नि:सङ्गो विचरेदिह ॥,"By direct perception, logical deduction, scriptural testimony and personal realization, one should know that this world has a beginning and an end and so is not the ultimate reality. Thus one should live in this world without attachment."
sb.11.28.8,एतद् विद्वान् मदुदितं ज्ञानविज्ञाननैपुणम् । न निन्दति न च स्तौति लोके चरति सूर्यवत् ॥,"One who has properly understood the process of becoming firmly fixed in theoretical and realized knowledge, as described herein by Me, does not indulge in material criticism or praise. Like the sun, he wanders freely throughout this world."
bg.13.28,समं सर्वेषु भूतेषु तिष्ठन्तं परमेश्वरम् । विनश्यत्स्वविनश्यन्तं य: पश्यति स पश्यति ॥,"One who sees the Supersoul accompanying the individual soul in all bodies, and who understands that neither the soul nor the Supersoul within the destructible body is ever destroyed, actually sees."
bg.13.29,समं पश्यन्हि सर्वत्र समवस्थितमीश्वरम् । न हिनस्त्यात्मनात्मानं ततो याति परां गतिम् ॥,"One who sees the Supersoul equally present everywhere, in every living being, does not degrade himself by his mind. Thus he approaches the transcendental destination."
sb.11.26.3,सङ्गं न कुर्यादसतां शिश्न‍ोदरतृपां क्व‍‍चित् । तस्यानुगस्तमस्यन्धे पतत्यन्धानुगान्धवत् ॥,"One should never associate with materialists, those dedicated to gratifying their genitals and bellies. By following them one falls into the deepest pit of darkness, just like a blind man who follows another blind man."
sb.11.29.37,विद्रावितो मोहमहान्धकारो य आश्रितो मे तव सन्निधानात् । विभावसो: किं नु समीपगस्य शीतं तमो भी: प्रभवन्त्यजाद्य ॥,"Śrī Uddhava said: O unborn, primeval Lord, although I had fallen into the great darkness of illusion, my ignorance has now been dispelled by Your merciful association. Indeed, how can cold, darkness and fear exert their power over one who has approached the brilliant sun?"
